ESAME;DESCRIZIONE;PROVETTA
L0102   ;S-BILIRUBINA TOTALE                                                             ;T.GIALLO
L0103   ;S-BILIRUBINA TOTALE E  FRAZIONATA                                               ;T.GIALLO
L0104   ;S-BILIRUBINA TOTALE REFLEX                                                      ;T.GIALLO
L0106   ;S-TRIGLICERIDI                                                                  ;T.GIALLO
L0107   ;S-FRAZIONE C3 ATTIVA  DEL COMPLEMENTO                                           ;SY-T.GIALLO CONG
L0108   ;S-INDICE SATURAZIONE TRANSFERRINA                                               ;T.GIALLO
L0109   ;S-ANTICORPI ANTI ROSOLIA                                                        ;T.GIALLO 3
L0118   ;FOSFATASI ALCALINA ISOENZIMA OSSEO                                              ;SY-T.GIALLO
L0119   ;P-BICARBONATI                                                                   ;SY-T.VERDE
L0121   ;S-ASPARTATO AMMINOTRANSFERASI (AST)                                             ;T.GIALLO
L0122   ;S-ALANINA AMMINOTRANSFERASI (ALT)                                               ;T.GIALLO
L0123   ;S-CREATINCHINASI (CK)                                                           ;T.GIALLO
L0124   ;S-LATTATO DEIDROGENASI (LDH)                                                    ;T.GIALLO
L0126   ;S-GAMMA-GLUTAMIL TRANSFERASI (GGT)                                              ;T.GIALLO
L0127   ;S-COLINESTERASI (PSUEDO-CHE)                                                    ;T.GIALLO
L0128   ;S-FOSFATASI ALCALINA (ALP)                                                      ;T.GIALLO
L0129   ;S-FOSFATASI ACIDA TOTALE                                                        ;SY-T.GIALLO CONG
L0130   ;S-CORTISOLO (4 DETERMINAZIONI)                                                  ;T.GIALLO
L0131   ;S-ALFA AMILASI                                                                  ;T.GIALLO
L0133   ;S-ALDOLASI                                                                      ;SY-T.GIALLO
L0134   ;S-AMILASI PANCREATICA                                                           ;T.GIALLO
L0135   ;F-ELASTASI 1 PANCREATICA                                                        ;FECI X ELASTASI
L0136   ;Sg-G-6-PDH ERITROCITARIA                                                        ;SY-T.VIOLA
L0137   ;S-LIPASI                                                                        ;T.GIALLO
L0138   ;P-AMMONIEMIA                                                                    ;T.VIOLA CONG
L0139   ;S-CREATINCHINASI ISOENZIMA MB (CK-MB)                                           ;SY-T.GIALLO
L0140   ;U-ACIDO FORMICO inizio turno                                                    ;CE-Urine I.T.
L0141   ;U-ACIDO FORMICO fine turno                                                      ;CE-Urine F.T.
L0142   ;S-LDH ISOENZIMI                                                                 ;SY-T.GIALLO
L0143   ;Sg-PIRUVATO-CHINASI ERITROCITARIA                                               ;SY-Viola integra
L0144   ;Sg-MIOGLOBINA                                                                   ;SY-T.GIALLO
L0151   ;S-PROTEINA C REATTIVA ALTA SENSIBILTA'                                          ;SY-T.GIALLO
L0152   ;U-ALA inizio turno                                                              ;CE-Urine I.T.
L0154   ;Sg-ZINCOPROTOPORFIRINA                                                          ;CE-T.VIOLA
L0156   ;dU-PORFIRINE TOTALI                                                             ;SY-UR.BUIO
L0156   ;dU-PORFIRINE TOTALI                                                             ;SY-UR.BUIO
L0157   ;Sg-CARBOSSIEMOGLOBINA inizio turno                                              ;CE-T.VIOLA I.T.
L0158   ;Sg-CARBOSSIEMOGLOBINA fine turno                                                ;CE-T.VIOLA F.T.
L0159   ;Sg-METAEMOGLOBINA                                                               ;CE-T.VIOLA
L0161   ;S-STREPTOCOCCO ANTICORPI A.STREPTOLISINA                                        ;T.GIALLO
L0162   ;S-PROTEINA C REATTIVA                                                           ;T.GIALLO
L0163   ;S-FATTORE REUMATOIDE(REUMA TEST)                                                ;T.GIALLO
L0164   ;S-ALFA 1 GLIPROTEINA ACIDA                                                      ;SY-T.GIALLO
L0165   ;S-TITOLO ANTISTAFILOLISINICO (TAF)                                              ;SY-T.GIALLO
L0166   ;S-WAALER-ROSE                                                                   ;SY-T.GIALLO
L0167   ;F-SANGUE OCCULTO CAMPIONE 1                                                     ;FECI S.O. 1
L0168   ;F-SANGUE OCCULTO CAMPIONE 3                                                     ;FECI S.O. 3
L0169   ;F-ESAME FECI CHIMICO E MICROSCOPICO                                             ;FECI
L0170   ;S-MONO TEST                                                                     ;T.GIALLO 2
L0171   ;S-VIRUS EPSTEIN BARR: REAZ. DI PAUL-BUN                                         ;SY-T.GIALLO
L0172   ;S-V.D.R.L.                                                                      ;T.GIALLO 2
L0174   ;ANTICORPI ANTI TREPONEMA PALLIDUM                                               ;T.GIALLO 3
L0175   ;S-ANTICORPI ANTI EPSTEIN BARR VCA IgG                                           ;T.GIALLO 3
L0177   ;S-ANTICORPI ANTI EPSTEIN BARR IgG EA                                            ;T.GIALLO 2
L0178   ;S-ANTICORPI ANTI EPSTEIN BARR VCA IgM                                           ;T.GIALLO 3
L0179   ;ANTI EPSTEIN BARR (EBNA) IgG                                                    ;T.GIALLO 2
L0181   ;ANTICORPI ANTI EPSTEIN BARR EA IgM (Early)                                      ;T.GIALLO 2
L0188   ;Sg-TEST DI COOMBS INDIRETTO                                                     ;T.VIOLA
L0189   ;Sg-TEST DI COOMBS DIRETTO                                                       ;SY-T.Viola
L0190   ;Sg-GRUPPO SANGUIGNO                                                             ;T.VIOLA
L0191   ;URINOCOLTURA                                                                    ;URINE STERILI
L0192   ;COPROCOLTURA                                                                    ;FECI COPRO
L0193   ;COLTURA ESPETTORATO                                                             ;ESPETTORATO
L0194   ;TAMPONE FARINGEO                                                                ;T.FARINGEO
L0195   ;TAMPONE NASALE DX                                                               ;T.NASALE DX
L0196   ;TAMPONE URETRALE                                                                ;T.URETRALE
L0197   ;TAMPONE VAGINALE                                                                ;T.VAGINALE
L0198   ;TAMPONE RETTALE                                                                 ;T.RETTALE
L0199   ;TAMPONE CERVICALE                                                               ;T.CERVICALE
L0200   ;TAMPONE NASALE SX                                                               ;T.NASALE SX
L0201   ;COLTURA PUS                                                                     ;PUS
